2025-03-10 10:44:40,170 INFO    MainThread:19752 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-10 10:44:40,171 INFO    MainThread:19752 [wandb_setup.py:_flush():67] Configure stats pid to 19752
2025-03-10 10:44:40,171 INFO    MainThread:19752 [wandb_setup.py:_flush():67] Loading settings from C:\Users\ANJALI VERMA\.config\wandb\settings
2025-03-10 10:44:40,171 INFO    MainThread:19752 [wandb_setup.py:_flush():67] Loading settings from K:\DA6401\da6401_assignment1\wandb\settings
2025-03-10 10:44:40,171 INFO    MainThread:19752 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-10 10:44:40,171 INFO    MainThread:19752 [wandb_init.py:setup_run_log_directory():647] Logging user logs to K:\DA6401\da6401_assignment1\wandb\run-20250310_104440-7ew7lrto\logs\debug.log
2025-03-10 10:44:40,172 INFO    MainThread:19752 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to K:\DA6401\da6401_assignment1\wandb\run-20250310_104440-7ew7lrto\logs\debug-internal.log
2025-03-10 10:44:40,173 INFO    MainThread:19752 [wandb_init.py:init():761] calling init triggers
2025-03-10 10:44:40,173 INFO    MainThread:19752 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-10 10:44:40,173 INFO    MainThread:19752 [wandb_init.py:init():784] starting backend
2025-03-10 10:44:40,173 INFO    MainThread:19752 [wandb_init.py:init():788] sending inform_init request
2025-03-10 10:44:40,178 INFO    MainThread:19752 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-10 10:44:40,179 INFO    MainThread:19752 [wandb_init.py:init():798] backend started and connected
2025-03-10 10:44:40,181 INFO    MainThread:19752 [wandb_init.py:init():891] updated telemetry
2025-03-10 10:44:40,182 INFO    MainThread:19752 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-10 10:44:40,671 INFO    MainThread:19752 [wandb_init.py:init():990] starting run threads in backend
2025-03-10 10:44:40,844 INFO    MainThread:19752 [wandb_run.py:_console_start():2375] atexit reg
2025-03-10 10:44:40,844 INFO    MainThread:19752 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-10 10:44:40,845 INFO    MainThread:19752 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-10 10:44:40,845 INFO    MainThread:19752 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-10 10:44:40,848 INFO    MainThread:19752 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-10 10:44:44,777 INFO    MainThread:19752 [wandb_run.py:_finish():2112] finishing run da24m002-indian-institute-of-technology-madras/fashion-mnist-visualization/7ew7lrto
2025-03-10 10:44:44,777 INFO    MainThread:19752 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-10 10:44:44,777 INFO    MainThread:19752 [wandb_run.py:_restore():2322] restore
2025-03-10 10:44:44,777 INFO    MainThread:19752 [wandb_run.py:_restore():2328] restore done
2025-03-10 10:44:46,686 INFO    MainThread:19752 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-10 10:44:46,686 INFO    MainThread:19752 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-10 10:44:46,686 INFO    MainThread:19752 [wandb_run.py:_footer_sync_info():3917] logging synced files
