2025-03-17 16:15:43,300 INFO    MainThread:3220 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 16:15:43,301 INFO    MainThread:3220 [wandb_setup.py:_flush():67] Configure stats pid to 3220
2025-03-17 16:15:43,301 INFO    MainThread:3220 [wandb_setup.py:_flush():67] Loading settings from C:\Users\ANJALI VERMA\.config\wandb\settings
2025-03-17 16:15:43,301 INFO    MainThread:3220 [wandb_setup.py:_flush():67] Loading settings from K:\DA6401\da6401_assignment1\wandb\settings
2025-03-17 16:15:43,301 INFO    MainThread:3220 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 16:15:43,301 INFO    MainThread:3220 [wandb_init.py:setup_run_log_directory():647] Logging user logs to K:\DA6401\da6401_assignment1\wandb\run-20250317_161543-o49f0ltz\logs\debug.log
2025-03-17 16:15:43,302 INFO    MainThread:3220 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to K:\DA6401\da6401_assignment1\wandb\run-20250317_161543-o49f0ltz\logs\debug-internal.log
2025-03-17 16:15:43,302 INFO    MainThread:3220 [wandb_init.py:init():761] calling init triggers
2025-03-17 16:15:43,302 INFO    MainThread:3220 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'wandb_project': 'da6401_a1', 'wandb_entity': 'da24m002-indian-institute-of-technology-madras', 'dataset': 'fashion_mnist', 'epochs': 20, 'batch_size': 64, 'loss': 'cross_entropy', 'optimizer': 'nadam', 'learning_rate': 0.001, 'momentum': 0.9, 'beta': 0.9, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'weight_decay': 0.0, 'weight_init': 'Xavier', 'num_layers': 4, 'hidden_size': 128, 'activation': 'sigmoid', 'sweep': False, '_wandb': {}}
2025-03-17 16:15:43,302 INFO    MainThread:3220 [wandb_init.py:init():784] starting backend
2025-03-17 16:15:43,302 INFO    MainThread:3220 [wandb_init.py:init():788] sending inform_init request
2025-03-17 16:15:43,315 INFO    MainThread:3220 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-03-17 16:15:43,315 INFO    MainThread:3220 [wandb_init.py:init():798] backend started and connected
2025-03-17 16:15:43,318 INFO    MainThread:3220 [wandb_init.py:init():891] updated telemetry
2025-03-17 16:15:43,318 INFO    MainThread:3220 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 16:15:44,057 INFO    MainThread:3220 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 16:15:44,301 INFO    MainThread:3220 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 16:15:44,302 INFO    MainThread:3220 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 16:15:44,302 INFO    MainThread:3220 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 16:15:44,302 INFO    MainThread:3220 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 16:15:44,309 INFO    MainThread:3220 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 16:19:07,479 INFO    MsgRouterThr:3220 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
